timestamp,posX,posY,posZ,pitch,yaw,roll,gazeX,gazeY,gazeZ
2024-11-14T15:51:55.642593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:51:56.161064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:51:56.681655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:51:57.200863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:51:57.721914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:51:58.241509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:51:58.763549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:51:59.285079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:51:59.807598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:00.328482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:00.845189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:01.369540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:01.905954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:02.427039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:02.948683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:03.465586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:03.988998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:04.508847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:05.027188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:05.548062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:06.071457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:06.593186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024-11-14T15:52:07.113496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
